Disease,Diet
Fungal infection,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil']"
Allergy,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods']"
GERD,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice']"
Chronic cholestasis,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains']"
Drug Reaction,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods']"
Peptic ulcer disease,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice']"
AIDS,"['High-calorie diet', 'Protein-rich foods', 'Vitamin-rich foods', 'Hydration']"
Diabetes,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats']"
Gastroenteritis,"['Bland Diet', 'Bananas', 'Rice', 'Applesauce']"
Bronchial Asthma,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
Hypertension,"['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains']"
Migraine,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration']"
Cervical spondylosis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables']"
Paralysis (brain hemorrhage),"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains']"
Jaundice,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains']"
Malaria,"['ORS', 'Coconut water', 'Light meals', 'Fruits rich in antioxidants']"
Chicken pox,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration']"
Dengue,"['Coconut water', 'Papaya leaf extract', 'ORS', 'Vitamin C-rich fruits']"
Typhoid,"['Soft foods', 'Hydration', 'Boiled vegetables', 'Low-fiber diet initially']"
hepatitis A,"['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration']"
Hepatitis B,"['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration']"
Hepatitis C,"['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration']"
Hepatitis D,"['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration']"
Hepatitis E,"['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration']"
Alcoholic hepatitis,"['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains']"
Tuberculosis,"['High-protein foods', 'Milk', 'Eggs', 'Leafy vegetables']"
Common Cold,"['Cold Diet', 'Hydration', 'Warm fluids', 'Rest']"
Pneumonia,"['Warm fluids', 'Protein-rich foods', 'Fruits and vegetables']"
Dimorphic hemmorhoids(piles),"['Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths']"
Heart attack,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains']"
Varicose veins,"['Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains']"
Hypothyroidism,"['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']"
Hyperthyroidism,"['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods']"
Hypoglycemia,"['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods']"
Osteoarthristis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables']"
Arthritis,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables']"
(vertigo) Paroymsal Positional Vertigo,"['Vertigo Diet', 'Low-Salt Diet', 'Hydration', 'Ginger tea']"
Acne,"['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables']"
Urinary tract infection,"['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics']"
Psoriasis,"['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables']"
Impetigo,"['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration']"
