Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Stop the suspected medication immediately,Take antihistamines or steroids if prescribed,Stay hydrated,Seek emergency care if severe symptoms appear
Malaria,Use mosquito nets and repellents,Complete full antimalarial treatment,Stay hydrated,Seek medical help if fever persists
Allergy,Avoid known allergens,Take antihistamines as prescribed,Use cold compress for itching or swelling,Seek medical help if breathing difficulty occurs
Hypothyroidism,Take levothyroxine daily on empty stomach,Do not miss medication,Regular thyroid function test,Maintain healthy weight
Psoriasis,Moisturize skin regularly,Avoid triggers like stress,Use prescribed topical treatments,Take sunlight exposure moderately
GERD,Avoid spicy and fatty foods,Do not lie down immediately after eating,Take PPIs or H2 blockers as prescribed,Maintain healthy weight
Chronic cholestasis,Follow low-fat diet,Take UDCA as prescribed,Monitor liver function regularly,Consult doctor if itching worsens
hepatitis A,Avoid alcohol completely,Take adequate rest,Maintain hydration,Follow liver-friendly diet
Osteoarthristis,Do low-impact exercises,Maintain healthy weight,Use hot/cold compress,Take pain medicines if advised
(vertigo) Paroymsal  Positional Vertigo,Avoid sudden head movements,Perform Epley maneuvers,Use prescribed vertigo medicines,Ensure proper hydration
Hypoglycemia,Carry glucose tablets or sweets,Eat small frequent meals,Avoid skipping meals,Monitor blood sugar regularly
Acne,Wash face twice daily,Avoid oily skin products,Do not squeeze pimples,Use dermatologist-prescribed creams
Diabetes ,Monitor blood sugar regularly,Follow diabetic diet,Exercise regularly,Take medicines/insulin on time
Impetigo,Clean affected area regularly,Avoid scratching,Use prescribed antibiotic ointments,Maintain hygiene to prevent spread
Hypertension ,Reduce salt intake,Exercise regularly,Take BP medicines daily,Monitor BP at home
Peptic ulcer diseae,Avoid NSAIDs and spicy foods,Take PPIs or H. pylori treatment as advised,Avoid smoking and alcohol,Eat frequent small meals
Dimorphic hemmorhoids(piles),Eat high-fiber diet,Drink plenty of water,Use warm sitz bath,Avoid straining during bowel movements
Common Cold,Stay hydrated,Take steam inhalation,Avoid cold beverages,Use prescribed cough syrups
Chicken pox,Avoid scratching the lesions,Use calamine lotion for relief,Take paracetamol for fever,Maintain hygiene to prevent spread
Cervical spondylosis,Do neck exercises regularly,Maintain correct posture,Avoid heavy lifting,Use warm compress for pain relief
Hyperthyroidism,Take antithyroid medications as advised,Limit caffeine intake,Monitor heart rate,Regular thyroid checkups
Urinary tract infection,Drink plenty of water,Complete antibiotic course,Maintain hygiene,Avoid holding urine for long
Varicose veins,Elevate legs frequently,Use compression stockings,Avoid standing for long periods,Exercise regularly
AIDS,Take ART medicines regularly,Maintain good nutrition,Avoid exposure to infections,Have regular medical checkups
Paralysis (brain hemorrhage),Seek immediate medical care,Take BP medicines to avoid repeat bleeding,Attend physiotherapy sessions,Avoid stress and sudden exertion
Typhoid,Maintain hygiene and wash hands frequently,Complete full antibiotic course,Drink clean/boiled water,Eat soft and easily digestible foods
Hepatitis B,Follow antiviral treatment regularly,Avoid sharing needles or personal items,Attend regular liver checkups,Avoid alcohol
Fungal infection,Keep affected area clean and dry,Use prescribed antifungal creams or medicines,Avoid sharing towels or personal items,Maintain proper hygiene
Hepatitis C,Follow antiviral therapy strictly,Maintain liver-healthy diet,Stay hydrated,Undergo regular viral load testing
Migraine,Avoid bright lights and loud sounds,Take prescribed medications on time,Ensure adequate sleep,Avoid trigger foods like chocolate or caffeine
Bronchial Asthma,Avoid smoke/dust exposure,Use inhalers as prescribed,Practice breathing exercises,Keep rescue inhaler accessible
Alcoholic hepatitis,Stop alcohol completely,Follow prescribed treatment,Eat nutritious food,Monitor liver function regularly
Jaundice,Take adequate rest,Avoid alcohol,Stay hydrated,Follow liver-friendly diet
Hepatitis E,Drink clean/boiled water,Avoid raw or contaminated food,Take rest and hydrate well,Consult doctor if symptoms worsen
Dengue,Drink plenty of ORS/fluids,Take only paracetamol for fever,Avoid NSAIDs,Seek medical attention if bleeding or severe pain occurs
Hepatitis D,Follow HBV management strictly,Avoid alcohol,Monitor liver function regularly,Consult specialist if symptoms worsen
Heart attack,Seek emergency medical care immediately,Take prescribed cardiac medicines regularly,Avoid strenuous activity,Attend cardiac rehabilitation
Pneumonia,Take full antibiotic course,Get adequate rest,Stay hydrated,Use steam or warm compress for chest discomfort
Arthritis,Do joint exercises,Use warm compress,Take anti-inflammatory drugs,Maintain healthy lifestyle
Gastroenteritis,Drink plenty of fluids/ORS,Avoid spicy or oily foods,Maintain hygiene to prevent spread,Consult doctor if severe dehydration occurs
Tuberculosis,Take TB medicines daily without missing doses,Cover mouth while coughing,Ensure good ventilation at home,Complete entire DOTS therapy
